"GearType","Frequency","Country"
"Longlines (not specified), (Bottom)",3,"Chile"
"Midwater trawls (not specified), (Demersal)",3,"Chile"
"Trawls (not specified), (Demersal)",3,"Chile"
"Bottom trawls (not specified), (Bottom)",2,"Chile"
"Gillnets and entangling nets (not specified), (Pelagic)",2,"Chile"
"Gillnets and entangling nets (not specified), (Demersal)",1,"Chile"
"Longlines (not specified), (Demersal)",1,"Chile"
"Purse seines, (Surface)
",1,"Chile"
"Longlines (not specified), (Bottom)",2,"Ecuador"
"Gillnets and entangling nets (not specified), (Bottom)",1,"Ecuador"
"Gillnets and entangling nets (not specified), (Surface)",1,"Ecuador"
"Longlines (not specified), (Midwater), Longlines (not specified), (Pelagic), Longlines (not specified), (Surface)",1,"Ecuador"
"Purse seines, (Midwater), Purse seines, (Surface)",1,"Ecuador"
"Set gillnets/set nets (anchored), (Bottom)",1,"Ecuador"
"Trawls (not specified), (Bottom)",1,"Ecuador"
"Trawls (not specified), (Midwater)",1,"Ecuador"
"Set gillnets/set nets (anchored), (Surface)",1,"Fiji"
"Set longlines, (Pelagic)",1,"Fiji"
"Single and/or double rig trawl, (Bottom)",1,"Honduras"
"Trawls (not specified), (Bottom)",5,"Iceland"
"Midwater trawls (not specified), (Pelagic)",4,"Iceland"
"Purse seines, (Pelagic)",4,"Iceland"
"shrimp/prawn trawl, (Bottom)",4,"Iceland"
"Gillnets and entangling nets (not specified), (Demersal)",3,"Iceland"
"Longlines (not specified), (Bottom)",1,"Iceland"
"Longlines (not specified), (Pelagic)",1,"Iceland"
"Nephrops trawl (bottom)",1,"Iceland"
"Set gillnets/set nets (anchored), (Bottom)",3,"Norway"
"Purse seines, (Pelagic)",2,"Norway"
"Longlines (not specified), (Bottom)",1,"Norway"
"Trawls (not specified), (Bottom)",1,"Norway"
"Trawls (not specified), (Midwater)",1,"Norway"
"Beam trawls, (Demersal),",1,"Thailand"
"Gillnets and entangling nets (not specified), (Demersal),",1,"Thailand"
"Gillnets and entangling nets (not specified), (Pelagic)",1,"Thailand"
"Longlines (not specified), (Benthic)",1,"Thailand"
"Otter trawls (not specified), (Demersal),",1,"Thailand"
"Purse seines, (Demersal)",1,"Thailand"
"single and/or pair trawl, (Demersal)",1,"Thailand"
"Purse seines, (Pelagic)",3,"Vietnam"
"Gillnets and entangling nets (not specified), (Pelagic)",2,"Vietnam"
"Trawls (not specified), (Bottom)",2,"Vietnam"
"Fixed gillnets (on stakes), (Demersal)",1,"Vietnam"
"Gillnets and entangling nets (not specified), (Bottom)",1,"Vietnam"
"Gillnets and entangling nets (not specified), (Demersal)",1,"Vietnam"
"Gillnets and entangling nets (not specified), (Pelagic) ",1,"Vietnam"
"Handlines and hand­operated pole­ and­lines, (Midwater), Surrounding nets (not specified), (Pelagic), single and/or pair trawl, (Demersal)",1,"Vietnam"
